TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,hash_value
"","15","nina-paper-chaser","nina paper chaser","Nina loves money. It's all she dreams of. ","Female","hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none","59524227-dc52-407c-8cca-e9e8c5fb3018","011e6d6ae94070d52c081c54bebbdb81655a0e0f3198e1cf67b4bb6122e791d2"
"","16","oluwaseun-spicy","oluwaseun spicy","He loves spicy foods. He cooks pepper and sprinkles rice on top.","Male","hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none","808f7007-6552-4efa-bd13-4b7c337b102b","abe61d08e5b4e58d85fb71dad820450df2b78e779be9992eb14606441583868d"
"","17","sesan-the-smartie","sesan the smartie","Sesan always comes first in competitions.","Male","hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none","ba3edda7-8940-4ca4-97ba-826398d5909f","62935afc0f5ec7b8a5f8edacbed5fe7ae34d82d87a832b3596122e19b0e207d5"
"","18","tiwa-london","tiwa london","If she says she's in London and you see her; you're in London too.","Female","hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;","78da7aeb-8352-4e25-89ac-dc48b5984089","92268b317e145b268f90cfbefb618d397dbba2acef015175564d14a17295ee24"
"","19","tunde-yoruba-demon","tunde yoruba demon","Tunde derives joy in breaking hearts. It's a lifestyle.","Male","hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity","53b46bd7-a537-402b-b249-0b4074a8faae","5c8fcd92e335870c9f463e018d37dd4a263ef61ff8e37e06bac9303c8c3fdbfd"
"","20","yakubu-the-zombie","yakubu the zombie","Yakubu earned his zombie title because na only dust full him head.","Male","hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things","4adb6781-1614-424e-8f77-fe59ffca2209","101f6efdacc85601867f564ed25cbde3f314dac2b22139db5fd117633aafb57c"
"TEAM CLUTCH","21","abdul-the-vibe","abdul the vibe","Abdul the life of the party and can never be caught un-fresh.","Male","hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation","770f817a-9d9a-4772-9a91-e66dd9d03470","7f67efcd87c713bac4892e496ff76176fa1fdf1eab759c1ba05e77098e2f261c"
"","22","emeka-the -clown","emeka the clown","Emeka the funny man; always making silly joke.","Male","hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique","78810fa6-a7ef-4d83-bf57-caf49db4ee69","91ae10421db2b43cff69c651d6a948923d2ece40e4d4d1693a76bf27ec87e4d6"
"","23","salam-the-odogwu","salam the odogwu","Salam is a big time textile marketer always sourcing for quality materials.","Male","hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience","f2957ded-022c-4b07-92c6-b345d4816a67","72b4f2378c03102608394cdd17d5ed1b11bc370f243078527b9081a4e0c7bfb3"
"","24","charles-the-exporter","charles the exporter","Charles a business man an importer and exporter never to be caught idle.","Male","hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant","09395e76-19ed-4852-8748-795ee7496a8e","a683023001c65baef8851514ec84994d66e02671dc6e543e626710e6d7cbf21f"
"","25","wole-the-pimp","wole the pimp","Wole knows people and his way around his city.","Male","hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous","4d94d4f7-9b69-4e43-9db1-1fe83df92857","2fcfe1e767bb3263650695da94f3769b78327644d9a13fb862a8da780b5c5ac3"
"","26","saro-the-baller","saro the baller","Saro is a baller and he is always ready to turn-up","Male","hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable","d35a7514-8996-42fb-a5f2-5a603ec679c5","01fb335fdfc2774db9edfade23fafd76703869c13f38967c1b131acd0b0995d4"
"","27","ade-omo-yoruba","ade omo yoruba","Ade is an influential man and he is revered in his town.","Male","hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination","92984fa0-310b-4377-8a10-15965d044383","668fddbac83bb5f8a93c829aa2a26896f04cbeffb11c76f6601776da47086360"
"","28","shola-cool-kid","shola cool kid","Shola prefers to be alone because he hates stress.","Male","hair: none; eyes: none; teeth: none; clothing: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful","3ac5c186-bc14-4eb6-8567-cc818465a64f","58372789f3a34e1db5e981164558a2aa800bdafaa4a2de7349308900d9f58563"
"","29","charlie-the-smoker","charlie the smoker","Charlie uses smoking as a coping mechanism.","Male","hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible","71a0aa22-d111-43b7-8484-43d87310bc42","eeae366ae50666262fb944291b5f8380924c0929b706384eee3fc826b44cec46"
"","30","femi-the-badguy","femi the badguy","Femi is one of the fliest guys in Lagos.","Male","hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance","e493e3fb-a8a0-455a-854f-0f6474bbc69f","bab847aeb5dbee5ef6ad445ee9cc8aa16abd565b4c9d58a777a5e45539702099"
"","31","sinzu-money","sinzu money","Sinzu loves spending money on flashy things.","Male","hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothing: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ","942f8347-9932-4331-bd15-d0f3a048b54f","3a97a1ffe0980f826f738eb9a9489041c4dedc804b16de7bbb6ab2e86299be74"
"","32","obinna-the-palmwine tapper","obinna the palmwine tapper","Obinna taps palmwine for a living.","Male","hair: none; eyes: black; teeth: none; clothing: yellow black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive","0f1af056-2548-4407-bed4-abc11deae05d","cdf26f0f44b710d2ac74bfcbcb14612d5c6431a6172821a234c8672824ff2f4b"
"","33","aminu-maikudi","aminu maikudi","Aminu is a wealthy man from a family with generational wealth. ","Male","hair: none; eyes: black; teeth: none; clothing: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness","0129e7a5-e3d0-4675-92d0-1a1e55d11612","2a9d5f6c55e6b409562c46b04c8df8952b5771cd1aa88e71d1cd7af617f3cb90"
"","34","sabinus-the-town crier","sabinus the town crier","Sabinus delivers messages to his town people.","Male","hair: none; eyes: black; teeth: two white teeth with diastema; clothing: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience","01d4ce96-818e-44b1-8813-68a7d34b35ba","15e94a52d747390e93e860f808c74cfc1b78234961fe8157bafdfc95e1f184f9"
"","35","adisa-ibadan","adisa ibadan","Adisa is an elegant man and he is adored by his people.","Male","hair: none; eyes: black; teeth: none; clothing: kente; accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy","3a925f27-35f6-4dbf-9960-c6527fae5f3e","0f30f36e04d6405cef65adefdbdd6381b9837c94a8c9737ee6f069d922972b42"
"","36","linda-the-navigator","linda the navigator","Linda knows how to make a way for herself and the people around her.","Female","hair: blonde; eyes: none; teeth: none; clothing:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure","71f335a6-5a4f-4410-9cea-179336f0e498","380ea8bd31e6e5a9a887f60976a3d146a1f94d539a2ce586d54bb2fe113f4949"
"","37","kemi-the-iron lady","kemi the iron lady","Kemi the strongest woman known to the town of Igbede people.","Female","hair: ginger; eyes: none; teeth: none; clothing: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist","35b11a31-5b92-49f4-8fb1-30f255d22054","3723e6c431ec350ecfd3c76bb7c2140365eedc5539de8025cc3416f388c2696b"
"","38","mercy-the-sassy lady","mercy the sassy lady","Mercy is a confident woman and never hesistate to show it.","Female","hair: brown; eyes: none; teeth:none; clothing: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive","7a3c70ac-927f-4a63-a3df-ab86dd27cd0f","5285e45950f5985c975c5530b8d42b901feefc685e920ffd029a2c62aa43c9cd"
"","39","sandra-money","sandra money","Sandra likes getting and spending money.","Female","hair: brown; eyes: none; teeth:none; clothing:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker","1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca","4dd553efdfc1630d4cc1d9df3412a9dc0f22031c34b27dbc686e56b59f7b1aa1"
"","40","bimpe-the-fashionista","bimpe the fashionista","Bimpe loves wearing trendy clothes and looking gorgeous.","Female","hair: blonde; eyes: none; teeth:gap teeth; clothing: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination","92b548b7-998b-46b6-8198-80d407209483","1cf12ca29c18e74ee4ebd2abb71994e704c700143940bd7590d7532a24c13dbb"
"TEAM ENGINE","41","kim-rich-aunty","kim rich aunty","She loves spoiling her nieces and nephew.","Female","hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food","3344a73c-f15e-4afd-a1b2-3199e27eb08f","a3a5935969d83c3dc1d14839042cc85e89bb8515087e1bfa5827b6f089250e05"
"","42","barbra-stark","barbra stark","She loves fine dining and spends time with family.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food","4f31fd99-4918-42a9-a112-fa60ef36d5c6","75cddcff3dc07dcbf513ebd2d123680ea07ac6f8baff38d91eb8c42f48509298"
"","43","jean-art-dolger","jean art dolger","Loves collecting art for charity.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food","5e1105d9-e485-462d-a5bf-1eb931976b13","4112242aa4f5f1c090b4f235958b6bf1ffa2201cae2ac76c1538c169bdf6c7c3"
"","44","flora-burger- eater","flora burger eater","She loves eating burgers.","Female","hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food","054dffd1-cdff-417b-b6c2-a679dabd087b","c85ba538162bfa542d653a606f6ac959908c9c64e0cd40fe5f4868cca225e53f"
"","45","jessie-lord-rings","jessie lord rings","She loves her  (precious) jewelry.","Female","hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy","caacabe1-0abc-43af-92e2-2231248bff93","d853f2325b639983f3a9bbfc4309dac5c5509fbff8aca258619ed46022e64714"
"","46","pinky-monky-ponk","pinky monky ponk","She love to dance the honky tonk.","Female","hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips","bd6a4b38-543e-40fa-9153-f7e1a947ebb1","c863a4b00052dfd4f45dc8b3e97d52ab08c063de40037806082c12f807aa26ca"
"","47","wanjiru-hippie-glitter","wanjiru hippie glitter","A hippie that loves her glitters.","Female","hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies","683f0d27-3cb4-4948-b1b5-09f10bee575a","003d5984015d6b75d2a164a133474ae7c941c2bd23c065a35ea97bbe08e20fd1"
"","48","njoki-binary-coder","njoki binary coder","She codes with the best language and tops the set.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none","9b59bdb4-0c6c-4107-9d72-6d38d308edb4","f61b55d55457d4c329f597fa96c276c1389bc2ada921d911a7d1415208d4c1b3"
"","49","wangu-calaba-hustler","wangu calaba hustler","She is a passionate hustler you should be careful with her.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying","67f7da93-3925-4def-b660-58f558c14a19","dde4e8a28286a5336dd5c8fcfa5b5ff856fea03dbf7e348b8877b6371a82cc92"
"","50","lulu-dey-kpako","lulu dey kpako","She's is as enthusiastic as she is beautiful.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup","23b6c38f-ab84-4565-bfe9-d9eb019c9f29","6881a07074a625873d47b4b7d44053d7ffc993151063f1cdbbd10663bad0df05"
"","51","kiki-cala-flier","kiki cala flier","She flies first class and gets the best deals.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens","d24aefff-c9fc-4ea9-a7cf-1b741076c822","34577bc159cd2691614c1383514aab952c95b2f47365dce289ae496e925e4c6a"
"","52","purity-nft -investor","purity nft investor","She is an angel investor looking for the next big thing.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes","ee86ef77-4793-411a-88d3-ea54d84f6b24","420a0944bf36d8888a5bb2230d9190eb93f25875049a8505220f224c8e10caa0"
"","53","june-binary-monk","june binary monk","She has a twin from Tibet and they always play together .","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money","102c4cdb-f812-44fd-bf47-5065284c6075","fff0322782f407b6a17272aa6c8c9d731a7faa9c9d4f2b392a15494496774700"
"","54","aisha-flying-damsel","aisha flying damsel","She is always a damsel in distress and loves to fly.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food","c4071af3-b49e-4ad6-898b-7828f90465fb","2bfac5bffa73c2b25fe3500bd128d4c6fff9e31a997ac6980de2556bf4cf482a"
"","55","bobo-crypto-lovely","bobo crypto lovely","She is a crypto guru you can trust all through.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water","427ea0f5-30a3-4d70-a5bd-a6106409b83c","affe67ae8b05eddb08fd2420f276683817f46bd03e141d9e396a97841d69696a"
"","56","nell-light -embrace","nell light embrace","She is an empathy ready with a kind word or hug.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love","9dfe30b4-c71a-471c-8091-f5c4a238eed8","7fed184ab2d23a3ee81e2365328281fb2d7e436a18a1b6ef1bd089b6da365860"
"","57","rachel-mood-silent","rachel mood silent","Introvert  to the core a mysterious lady.","Female","hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls","11450acd-f0d7-406f-bc18-bdb680404845","22770f20eb4e8465ed98ff01255fe54e38a63350b04fdeba8b5b7b3bc1dc4de2"
"","58","nana-reflector-agent","nana reflector agent","She loves her chrome fashion style.","Female","hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy","63bda633-bfca-4b28-823f-7772936b4103","138c2ef17293b5fb39f7ca6c5b62172f4c2387b628345af3972779222698f7e5"
"","59","bree-busy-gossip","bree busy gossip","Never whisper your secrets to her except you want the world to know.","Female","hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height","4f5898d9-fc99-4053-a56c-b2ec1ef41347","040b745c99670242b268da631e2dc65dcf99e31b254803ffce0d83503ee5c2e7"
"","60","jude-shadow-fighter","jude shadow fighter","A ninja warrior; the last samurai standing.","Female","hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water","a47b2ed7-d4aa-4404-ac40-0ecea464cf3f","54ae5869e29327617e926e51d9808c8aea2d41ab1f05eb1ac07bd1d1212dac23"
"TEAM GRIT","61","toy-soldier","toy soldier","A man stronger than an army.","Male","hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strength: powerful; weakness: sentimental","fc8ea3ac-59d1-11ed-9b6a-0242ac120002","d5ff749e4656bc0b29849cb11c152ac9e0a68ea9c8704cecc7a3bccccf2789f1"
"","62","pipey-rivers","pipey rivers","A man who loves the water so much and fixes it's path.","Male","hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strength: calculative; weakness: public speaking","58f69cae-59d1-11ed-9b6a-0242ac120002","ac1c85ca396b0be0f6f5853f6fa8601009a2faebc838182dfb221560167ada33"
"","63","phiri-of-zambia","phiri of zambia","An african woman with strength and beauty.","Female","hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strength: free spirit; weakness: blind ","24b537fa-59d3-11ed-9b6a-0242ac120002","a285d4945c03f149765198bbda5cc17aeabb449484f43c4929c86b3702ead79a"
"","64","patrick-of-bikinibottom","patrick of bikinibottom","A white man who loves the african culture and associates with their dressing.","Male","hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strength: adaptation; weakness: fluency","064c7b84-59d3-11ed-9b6a-0242ac120002","9ba430ddfd481c2aa60feeba2382e1c2edec468eed69069b3879addab2714386"
"","65","nobuhle-of-zulu","nobuhle of zulu","A woman; well endowed with beauty.","Female","hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strength: cool headed; weakness: pressure","1ee5b1ce-59d3-11ed-9b6a-0242ac120002","43fd9bef9dd17f7135905d8a09b20a09d532be5bb24afb902ca7328351b5d040"
"","66","nkosazana-of-xhosa","nkosazana of xhosa","An african princess; always proud of her culture.","Female","hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strength: confidence; weakness: endurance","2f1a1724-59d3-11ed-9b6a-0242ac120002","48085c142deeda0707989a979a50f14cce5d5ba8cbac643f790548296c38bfd5"
"","67","mandla-of-zulu","mandla of zulu","A simple and introverted guy who keeps to himself.","Male","hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship","d04553b2-59d7-11ed-9b6a-0242ac120002","e4bbfbc61dc808103986aaa52442c9165c724385fe24cb204d27b7360df65783"
"","68","john-doe","john doe","A principled guy who is conscious of his health and ensures protection from infection.","Male","hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expression: cold; strength: cleaniness; weakness: perfectionist","5d19795e-59d2-11ed-9b6a-0242ac120002","81f8d56d9294acbdf19843a1912d866376515bef87a2c4617a71c8ab0167f276"
"","69","ghost-of-power","ghost of power","A woman; stronger than ten men combined.","Female","hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer","29c764ca-59d3-11ed-9b6a-0242ac120002","96393a8c61db872724cbbf919c72d2d117f91270eb9f4762c002862c449ae532"
"","70","freida","freida","A man who is always peaceful.","Male","hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger","ee671c4a-59d2-11ed-9b6a-0242ac120002","7196ab1ae5f0dc8558e93428cd05aca09cc6a8322feee340b6de2c4aceeba2fb"
"","71","flamboyant-tree","flamboyant tree","A beautiful african woman; billionaire in the making.","Female","hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl","380e4990-59d3-11ed-9b6a-0242ac120002","0b1df3938c6d8c2d3252695022f432788790a838afd99057aa029682987e0dae"
"","72","david-of-accra","david of accra","A combatant who fights and defends his people","Male","hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping","1c1ef1b4-59d1-11ed-9b6a-0242ac120002","06f78130e8861835a174f46d1de6ac871c2c8089cd14cafe71adbd55794515d3"
"","73","cally-lily","cally lily","A man who is a breathe of fresh air.","Male","hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun","82bba87c-59d1-11ed-9b6a-0242ac120002","1626be9748b7e5b52d63c614cb04c9778311609839f348a0d4fdc4bc42798798"
"","74","bubune-of-accra","bubune of accra","A man with honor; always conscious of his health.","Male","hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie","faa4b530-59d2-11ed-9b6a-0242ac120002","f3cbe139e2b2fbb805be7a4367daa9d8dff97499e6a42b926007b3669f5862f9"
"","75","bediako-of-accra","bediako of accra","A strong man; always ready to fight for what is right.","Male","hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational","fb6e8222-59d0-11ed-9b6a-0242ac120002","fa4d1f90e472acc608988f077c60b616a307cd9a7cb3eb40791484d1c6897c91"
"","76","avatar-aang","avatar aang","A man who is ready to save the world.","Male","hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia","169f93a0-59d2-11ed-9b6a-0242ac120002","3c294a77ae8706533c8fa889520bf3059a487e6770b680d0d0820e75cbb318aa"
"","77","argus-greek","argus greek","A man who you will always find on the look out.","Male","hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness","e7f26b26-59d2-11ed-9b6a-0242ac120002","f3faf76540d6f54be5533663a84605bfe75530e00d7fc454622f1f6bc3542d2c"
"","78","amahle-of-zulu","amahle of zulu","A traditional man; feeling fulfilled.","Male","hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist","169f93a0-59d2-11ed-9b6a-0242ac120002","8fc7f25a0be4764f6fb5495ef7319cbfda1d636a4e7b1630ae49a33ea78b3382"
"","79","agnar-ole","agnar ole","A man who feels like an outcast and always has a battle with his mind.","Male","hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying","f3f11fd0-59d2-11ed-9b6a-0242ac120002","5ba386a0a6caeef4c5df7f09c102f2459c76daa70eb72c6d9d9dd1d873d4e3ce"
"","80","adom-kulu","adom kulu","A ghanaian model; proud of his culture.","Male","hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride","00f6589e-59d3-11ed-9b6a-0242ac120002","bc9ba720596ecad13a968d2757160851d2106d36e9f5cd573604652412af7cd9"
"TEAM PRYBAR","81","segun-baller","segun baller","A man who loves to have fun.","Male","hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant","58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1","50d4108f985cb5782727bca53ed6b528ae9ab2208f142416225835dcc617e04d"
